name,no_of_ratings,rating
1. The Gaia Hotel Bandung,632,5
2. The Papandayan,"3,194",5
3. Grand Tjokro Premiere Bandung,"4,156",4.5
4. POP! Hotel Festival Citylink,827,4
5. ibis Styles Bandung Grand Central,773,5
6. Swiss-Belresort Dago Heritage,"1,044 reviews",4.5
7. Janevalla Bandung,"1,206 reviews",4.5
8. Belviu Hotel,"1,929 reviews",5
9. The Trans Luxury Hotel,"2,173 reviews",4.5
10. The Naripan Hotel,"1,117 reviews",5
11. HARRIS Hotel &amp; Conventions Ciumbuleuit,"1,109 reviews",4.5
12. The Luxton Bandung,673 reviews,4
13. Aston Pasteur,"1,139 reviews",4.5
14. Gino Feruci Kebonjati Bandung,"1,018 reviews",4.5
15. Tebu Hotel Bandung,445 reviews,4.5
16. Serela Cihampelas Hotel Bandung,571 reviews,4.5
"17. The Jayakarta Suites Bandung, Boutique Suites, Hotel &amp; Spa",349 reviews,3.5
18. FOX HARRIS Hotel City Center Bandung,502 reviews,4.5
19. Horison Green Forest Resort,295 reviews,3.5
20. Verona Palace Hotel,109 reviews,4
21. Vue Palace Hotel,36 reviews,4.5
22. Collection O 25 Hotel Baltika,5 reviews,3
23. THE 1O1 Bandung Dago,606 reviews,4
24. Meize Hotel,169 reviews,3.5
25. Shakti Hotel Bandung,305 reviews,4.5
26. De'Rain Hotel Bandung,63 reviews,3.5
27. Hotel Daily Inn Bandung,2 reviews,5
28. Amaroossa Bandung,"1,017 reviews",4.5
29. The Cherry Homes Hotel and Residence,153 reviews,4
30. Bali World Hotel,75 reviews,3